slug,title,statement,fault_id,aspect_id,death_id,image_author,poem,poem_author
cracked-bread,"Have you baked bread, that has cracks upon its top?","You have baked bread, that has cracks upon its top.",you,domestic-life,close-friend,,morning blue sky--- / a bakery runs out / of croissants,Fred Masarani (2011)
ringing-ears,Is there a ringing in your ears?,There is a ringing in your.,you,vitality,you,,he rings in my ears / and gets louder when I try / to bury our love,Shanna Moore
lighted-carptenters-shop,Has a light suddenly and unaccountably been seen in a carpenter’s shop?,A light has suddenly and unaccountably been seen in a carpenter’s shop.,the-public,industry,community-member,,weight that shifts / with the news of a death / storm light,Lynne Rees (2017)
umbrella,Have you opened an umbrella in your house?,You have opened an umbrella in your house.,you,domestic-life,community-member,,my umbrella / flipped in the wind– / uncertain days,Adelaide Shaw (2014)
bell-ringing,Has a bell rung of its own accord?,A bell has been rung of its own accord?,god,religion,community-member,,she bows lower / than all the others— / temple bell,Sondra Byrnes (2016)
funeral-procession,"Did anyone arrive at the funeral, after the procession had begun?",Someone arrived at the funeral after the procession had begun.,the-public,death,community-member,,headlights— /a possum crouches / by the roadside,Cynthia Rowe (2020)
hair-pin,Has a hairpin fallen from your hair?,A hairpin has fallen from your hair.,you,domestic-life,you,,rivulets of red / running down her pale young face / she clutches a doll,Armando Corneille (2011)
sunday-corpse,Did you keep a corpse in the house over Sunday?,You kept a corpse in the house over Sunday.,you,death,family-member,,darkening skies -- / the final hours / of the weekend,Paul David Mena (2013)
looking-glass,Have you broken a looking-glass?,You have broken a looking-glass.,you,domestic-life,family-member,,a discolored wall / where the mirror / used to be,Paul David Mena (2019)
gaping-scissors ,Have scissors been left gaping on a table?,Scissors have been left gaping on a table.,the-household,domestic-life,family-member,,cutting up red pepper / for the salad--- / a drop of blood,Fred Masarani (2007)
dish-cloth,Has a dish-cloth been hung on a door-knob?,A dish-cloth has been hung on a door-knob.,the-household,domestic-life,family-member,,doing the dishes - / a tiny soap bubble rises / toward heaven,Gabi Greve (2006)
house-hoe,Have you carried a hoe through your house?,You have carried a hoe through your house.,you,industry,community-member,,spring blossoms ... / the old farmer / coughs blood,Gabi Greve (2009)
breakfast-sneeze,Have you sneezed before breakfast on Sunday morning?,You have sneezed before breakfast on Sunday morning.,you,vitality,close-friend,,spring morning / one egg left / in the fridge,An Mayou (2016)
lying-on-table,Have you laid down upon on a table?,You have laid down upon on a table.,you,domestic-life,you,,morning sun / the crumbs on the table / have a shadow,André Duhaim (2001)
singing-and-eating,Has there been singing at the table while your family is eating?,There has been singing at the table while your family was eating.,the-household,domestic-life,close-friend,,geriatric ward-- / the table groans / when they fold it up,Earl Keener (2004)
three-raps,Have three raps been heard?,Three raps have been heard.,god,domestic-life,family-member,,insomnia / the rat trap / snapping shut,Cudd Cwmwl (2017)
candle-coffin,Have you seen a coffin in a candle?,You have seen a coffin in a candle.,nature,domestic-life,community-member,,candle drippings / on the epitaph- / a broken word,Alegria Imperial (2012)
unmolested-window-shades,Have window-shades fallen without being molested?,Window-shades have fallen without being molested.,god,domestic-life,community-member,,her empty nursery ... / a sudden breeze lifts / the floral curtains,Cynthia Rowe (2019)
out-of-season-bloom,Have you seen a flower bloom out season?,You have seen a flower bloom out season.,god,nature,community-member,,long illness – / pink dogwood blooming / without me,Debbi Antebi (2020)
sparks-in-ashes,Were sparks unintentionally left in the ashes over night?,Sparks were unintentionally left in the ashes over night.,the-household,domestic-life,family-member,,wild fires / in the mist / the ashes,Cindy Tebo (2003)
motionless-clock,Has a long motionless clock suddenly begun to tick?,Has a long motionless clock suddenly begun to tick?,the-household,domestic-life,family-member,,lone guest gone – / the ticking / of the parlor clock,Brian Austin Darnell (2016)
bonnet,Have you tied on a bonnet?,Have you tied on a bonnet?,you,domestic-life,close-friend,,first date -- / wondering if the hat / is too much,Carol Raisfeld (2016)
sick-person-dress,Have you worked on a sick person's dress?,Have you worked on a sick person's dress?,you,industry,you,,dusk- / an unfinished sweater / on the rocking chair,Betty Kaplan (2011)
ground-dance,Have you danced on the ground?,Have you danced on the ground?,you,domestic-life,you,,heat lightning— / the first drop of sweat / on her chin,John Wisdom (2019)
stuck-shears,"During sickness, have you dropped shears that have stuck into the ground?","During sickness, have you dropped shears that have stuck into the ground?",you,vitality,you,,social distancing / our new neighbour / sharpens the scythe,Eva Limbach (2020)
looking-glass-corpse,Have you looked into a looking-glass while a corpse is in your house?,Have you looked into a looking-glass while a corpse is in your house?,you,death,you,,bathroom mirror / always a stranger / in my place,Isabel Caves (2019)
rain-open-grave,Did rain fall into an open grave?,Did rain fall into an open grave?,nature,death,community-member,,winter rain / the sheets where she slept / grow colder,Darrell Byrd (2010)
pass-through-funeral,Did you pass through a funeral procession?,Did you pass through a funeral procession?,you,death,you,"A Jewish Funeral, Hein Burgers (1860–1899)",plastic bags / trapped on barbed wire / roadside cross,Sharon Rhutaseljones (2019)
road-corpse,Has a corpse passed over the same road twice?,Has a corpse passed over the same road twice?,the-public,death,community-member,,year's end / there's a hearse / in the fast lane,Mark Holloway (2015)
open-eyed-corpse,Have the eyes of a corpse opened of their own accord?,Have the eyes of a corpse opened of their own accord?,nature,death,family-member,,near the wall / of the cemetery / a condom,Geert Verbeke (2004)
